iso_code,continent,location,total_cases,total_deaths,total_cases_per_million,total_deaths_per_million,stringency_index,population,population_density,median_age,aged_65_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,hospital_beds_per_thousand,life_expectancy,human_development_index,outdoor_pollution_death_rate,unsafe_sanitaton_death_rate
PRT,Europe,Portugal,1389646,18955,136669.603,1864.196,48.15,10167923,112.371,46.2,21.502,27936.896,0.5,127.842,9.85,16.3,30,3.39,82.05,0.864,8.734907589,0.020207854
PRY,South America,Paraguay,466101,16624,64560.135,2302.608,40.74,7219641,17.144,26.5,6.378,8827.01,1.7,199.128,8.27,5,21.6,1.3,74.25,0.728,20.50188616,0.144692861
ROU,Europe,Romania,1808891,58752,94568.829,3071.555,52.78,19127772,85.129,43,17.85,23313.199,5.7,370.946,9.74,22.9,37.1,6.892,76.05,0.828,38.9313303,0.013006135
RUS,Europe,Russia,10320405,302671,70730.327,2074.339,54.17,145912022,8.823,39.6,14.178,24765.954,0.1,431.297,6.18,23.4,58.3,8.05,72.58,0.824,32.35393235,0.010161953
SEN,Africa,Senegal,75055,1890,4364.6,109.907,21.3,17196308,82.328,18.7,3.008,2470.58,38,241.219,2.42,0.4,16.6,0.3,67.94,0.512,43.12451284,3.562454503
SLV,North America,El Salvador,121945,3824,18707.525,586.638,27.78,6518500,307.811,27.6,8.273,7292.458,2.2,167.295,8.87,2.5,18.8,1.3,73.32,0.673,31.74362111,0.331568082
SVK,Europe,Slovakia,1371082,16635,251608.381,3052.702,58.8,5449270,113.128,41.2,15.07,30155.152,0.7,287.959,7.29,23.1,37.7,5.82,77.54,0.86,39.1518059,0.001479403
SWE,Europe,Sweden,1314784,15310,129405.849,1506.866,49.07,10160159,24.718,41,19.985,46949.283,0.5,133.982,4.79,18.8,18.9,2.22,82.8,0.945,3.230732642,0.010056277
SYC,Africa,Seychelles,24788,134,250611.667,1354.767,69.44,98910,208.354,36.2,8.606,26382.287,1.1,242.648,10.55,7.1,35.7,3.6,73.4,0.796,35.2437686,0.10993193
TGO,Africa,Togo,30163,248,3557.695,29.251,21.76,8478242,143.366,19.4,2.839,1429.813,49.2,280.033,6.15,0.9,14.2,0.7,61.04,0.515,45.62925294,4.364260499
THA,Asia,Thailand,2223435,21698,31785.678,310.189,46.3,69950844,135.132,40.1,11.373,16277.671,0.1,109.861,7.04,1.9,38.8,2.1,77.15,0.777,34.67956761,0.053116005
TLS,Asia,Timor,19837,122,14761.045,90.782,47.69,1343875,87.176,18,3.556,6570.102,30.3,335.346,6.86,6.3,78.1,5.9,69.5,0.606,29.32281367,1.792244889
TUN,Africa,Tunisia,726706,25569,60884.749,2142.217,16.67,11935764,74.228,32.7,8.001,10849.297,2,318.991,8.52,1.1,65.8,2.3,76.7,0.74,65.40610601,0.042847699
TUR,Asia,Turkey,9482550,82361,111503.351,968.466,49.07,85042736,104.914,31.6,8.153,25129.341,0.2,171.285,12.13,14.1,41.1,2.81,77.69,0.82,53.68670211,0.028194851
TZA,Africa,Tanzania,29306,737,476.532,11.984,8.33,61498438,64.699,17.7,3.108,2683.304,49.1,217.288,5.75,3.3,26.7,0.7,65.46,0.529,21.96676317,2.975153311
UGA,Africa,Uganda,140737,3294,2986.555,69.901,73.15,47123533,213.759,16.4,2.168,1697.707,41.6,213.333,2.5,3.4,16.7,0.5,63.37,0.544,28.1217511,2.708356805
UKR,Europe,Ukraine,3847226,102088,88509.484,2348.642,51.85,43466822,77.39,41.4,16.462,7894.393,0.1,539.849,7.11,13.5,47.4,8.8,72.06,0.779,57.42673113,0.006623137
URY,South America,Uruguay,413383,6170,118612.617,1770.368,28.7,3485152,19.751,35.6,14.655,20551.409,0.1,160.708,6.93,14,19.9,2.8,77.91,0.817,13.51287398,0.018277965
USA,North America,United States,54835075,827879,164711.902,2486.757,50.46,332915074,35.608,38.3,15.413,54225.446,1.2,151.089,10.79,19.1,24.6,2.77,78.86,0.926,10.60651482,0.021259156
ZAF,Africa,South Africa,3458286,91145,57597.785,1518.021,44.44,60041996,46.754,27.3,5.344,12294.876,18.9,200.38,5.52,8.1,33.2,2.32,64.13,0.709,61.53435624,1.143428034
ZWE,Africa,Zimbabwe,213258,5004,14130.373,331.563,52.78,15092171,42.729,19.6,2.822,1899.775,21.4,307.846,1.82,1.6,30.7,1.7,61.49,0.571,35.84053238,1.970968297
